SKU-1,Product Category,Product Type
A1104,Áo sơ mi,Tiệc/ Công sở
A1251,Áo sơ mi,Công sở
A1273S,Phụ kiện,Phụ kiện
A1327,Áo kiểu,Tiệc
A1337,Áo kiểu,Tiệc
A1442S,Phụ kiện,Phụ kiện
A1507,Áo kiểu,Tiệc
A1627,Áo kiểu,Tiệc
A1858S,Áo khoác,Tiệc/ Công sở
A1913,Áo kiểu,Tiệc
A1962,Áo kiểu,Tiệc
A1965,Áo sơ mi,Công sở
A1980,Áo kiểu,Lifestyle
A2057,Áo sơ mi,Công sở
A2074,Áo kiểu,Tiệc
A2127,Áo khoác,Công sở
A2134,Áo sơ mi,Công sở
A2140,Áo khoác,Công sở
A2147,Áo sơ mi,Công sở
A2161,Áo kiểu,Tiệc
A2180S,Áo kiểu,Lifestyle
A2186,Áo kiểu,Tiệc/ Công sở
A2189S,Áo kiểu,Lifestyle
A2197S,Áo kiểu,Lifestyle
A2202,Áo kiểu,Tiệc
A2203S,Áo kiểu,Lifestyle
A2204S,Áo kiểu,Lifestyle
A2213S,Áo kiểu,Công sở
A2214S,Áo kiểu,Công sở
A2227,Áo kiểu,Tiệc/ Công sở
A2231,Áo sơ mi,Tiệc/ Công sở
A2235,Áo kiểu,Tiệc
A2254,Áo khoác,Tiệc/ Công sở
A2256S,Áo kiểu,Công sở
A2258,Áo sơ mi,Công sở
A2267,Áo kiểu,Lifestyle
A2270,Áo kiểu,Tiệc
A2272,Áo kiểu,Tiệc
A2291,Áo khoác,Công sở
A2294,Áo kiểu,Tiệc
A2297,Áo kiểu,Công sở
A2312,Áo sơ mi,Công sở
A2315,Áo sơ mi,Công sở
A2316,Áo sơ mi,Công sở
A2324,Áo sơ mi,Công sở
A2326,Áo sơ mi,Công sở
A2328,Áo khoác,Công sở
A2331,Áo sơ mi,Công sở
A2338,Áo sơ mi,Công sở
A2340,Áo sơ mi,Công sở
A2341,Áo sơ mi,Công sở
A2342,Áo sơ mi,Công sở
A2356,Áo kiểu,Công sở
A2368,Áo kiểu,Tiệc
A2378,Áo kiểu,Tiệc
A2379,Áo sơ mi,Công sở
A2384,Áo kiểu,Công sở
A2388,Áo kiểu,Công sở
A2392,Áo kiểu,Tiệc
A2402,Áo kiểu,Tiệc/ Công sở
A2406,Áo kiểu,Tiệc/ Công sở
A2407,Áo sơ mi,Tiệc
A2410,Áo sơ mi,Công sở
A2419,Áo sơ mi,Công sở
A2427,Áo sơ mi,Công sở
A2428,Áo sơ mi,Công sở
A2429,Áo sơ mi,Công sở
A2448,Áo khoác,Tiệc
A2506,Áo kiểu,Công sở
A2507,ÁO KIỂU,Tiệc/ Công sở
A2568,ÁO KIỂU,Tiệc
A2569,Áo sơ mi,Công sở
A2571,Áo sơ mi,Tiệc
A2582,Áo kiểu,Tiệc/ Công sở
A2596,Áo kiểu,Tiệc/ Công sở
A2604,Áo kiểu,Tiệc/ Công sở
A2607,Áo kiểu,Tiệc/ Công sở
A2620,Áo kiểu,Tiệc
A2622,Áo kiểu,Tiệc
A2631,Áo kiểu,Tiệc/ Công sở
A2667,Áo kiểu,Tiệc/ Công sở
A2669,Áo kiểu,Tiệc
A2806,Áo kiểu,Tiệc/ Công sở
A2860,Áo kiểu,Áo dài
A2869,Áo kiểu,Tiệc
A2892,Áo khoác,Tiệc/ Công sở
A2904,Áo khoác,Tiệc/ Công sở
A2915,Áo khoác,Tiệc/ Công sở
A2927,Áo kiểu,Công sở
A2935,Áo kiểu,Tiệc
A2989,Áo kiểu,Tiệc
A2999,Áo kiểu,Tiệc
A3108,Áo kiểu,Tiệc/ Công sở
A3213,Áo kiểu,Tiệc
A3241,Áo kiểu,Tiệc/ Công sở
A3248,Áo kiểu,Tiệc
A3253,Áo kiểu,Công sở
A3274,Áo sơ mi,Tiệc/ Công sở
A3280,Áo sơ mi,Công sở
A3294,Áo kiểu,Tiệc
A3320,Áo kiểu,Lifestyle
A3331,Áo kiểu,Công sở
A3332,Áo khoác,Công sở
A3336,Áo kiểu,Lifestyle
A3348,Áo kiểu,Tiệc
A3349,Áo sơ mi,Công sở
A3362,Áo sơ mi,Công sở
A3389,Áo kiểu,Tiệc/ Công sở
A3398,Áo kiểu,Tiệc
A3416,Áo kiểu,Tiệc
A3417,Áo kiểu,Lifestyle
A3425,Áo Sơ Mi,Lifestyle
A3429,Áo Thun,Lifestyle
A3434,Áo Sơ Mi,Tiệc/ Công sở
A3437,Áo Thun,Lifestyle
A3450,Áo Blazer,Công sở
A3456,Áo Kiểu,Tiệc
A3475,Áo Thun,Lifestyle
A3489,Áo Sơ Mi,Tiệc/ Công sở
A3491,Áo Blazer,Công sở
A3497,Áo Thun,Lifestyle
A3501,Áo Thun,Lifestyle
A3519,Áo Sơ Mi,Công sở
A3520,Áo Sơ Mi,Công sở
A3576,Áo Sơ Mi,Công sở
A3606,Áo Sơ Mi,Công sở
A3608,Áo Sơ Mi,Công sở
A3617,Áo Blazer,Công sở
A3622,Áo Kiểu,Lifestyle
A3624,Áo Sơ Mi,Công sở
A3632,Áo Sơ Mi,Công sở
BBA1985,Áo kiểu,Tiệc
BBA2063,Áo kiểu,Tiệc
BBA2109,Áo kiểu,Tiệc
BBA2116,Áo kiểu,Tiệc
BBA2152,Áo kiểu,Tiệc
BBA2168,Áo kiểu,Tiệc
BBK2084,Set,Tiệc
BBQ1671S,Quần jean,Lifestyle
BST119,Khác,BST
